star,year,award
Kyra Sedgwick,1998,Golden Globes
Kate Winslet,1998,Golden Globes
Dianne Wiest,1998,Golden Globes
Kirsten Dunst,1998,Golden Globes
Sophia Loren,1997,Golden Globes
Uma Thurman,1997,Golden Globes
Robin Wright,1997,Golden Globes
Winona Ryder,1997,Golden Globes
Rosie Perez,1997,Golden Globes
Emma Thompson,1996,Golden Globes
Penelope Ann Miller,1996,Golden Globes
Anna Paquin,1996,Golden Globes
Joan Plowright,1996,Golden Globes
Geraldine Chaplin,1996,Golden Globes
Judy Davis,1995,Golden Globes
Miranda Richardson,1995,Golden Globes
Alfre Woodard,1995,Golden Globes
Mercedes Ruehl,1995,Golden Globes
Diane Ladd,1995,Golden Globes
Juliette Lewis,1994,Golden Globes
Jessica Tandy,1994,Golden Globes
Nicole Kidman,1994,Golden Globes
Whoopi Goldberg,1994,Golden Globes
Lorraine Bracco,1994,Golden Globes
Diane Ladd,1993,Golden Globes
Shirley MacLaine,1993,Golden Globes
Mary McDonnell,1993,Golden Globes
Winona Ryder,1993,Golden Globes
Julia Roberts,1993,Golden Globes
Bridget Fonda,1992,Golden Globes
Brenda Fricker,1992,Golden Globes
Laura San Giacomo,1992,Golden Globes
Dianne Wiest,1992,Golden Globes
Sigourney Weaver,1992,Golden Globes
Diane Venora,1991,Golden Globes
Sônia Braga,1991,Golden Globes
Barbara Hershey,1991,Golden Globes
Lena Olin,1991,Golden Globes
Olympia Dukakis,1991,Golden Globes
Norma Aleandro,1990,Golden Globes
Anne Archer,1990,Golden Globes
Anne Ramsey,1990,Golden Globes
Vanessa Redgrave,1990,Golden Globes
Maggie Smith,1990,Golden Globes
Mary Elizabeth Mastrantonio,1989,Golden Globes
Linda Kozlowski ,1989,Golden Globes
Cathy Tyson,1989,Golden Globes
Dianne Wiest,1989,Golden Globes
Meg Tilly,1989,Golden Globes
Amy Madigan,1988,Golden Globes
Kelly McGillis,1988,Golden Globes
Oprah Winfrey,1988,Golden Globes
Sônia Braga,1988,Golden Globes
Anjelica Huston,1988,Golden Globes
Peggy Ashcroft,1987,Golden Globes
Drew Barrymore,1987,Golden Globes
Kim Basinger,1987,Golden Globes
Jacqueline Bisset,1987,Golden Globes
Melanie Griffith,1987,Golden Globes
Christine Lahti,1986,Golden Globes
Lesley Ann Warren,1986,Golden Globes
,1986.0,Golden Globes
,1986.0,Golden Globes
,1986.0,Golden Globes
Aaron Taylor-Johnson,2020,Golden Globes
Mahershala Ali,2020,Golden Globes
Jeff Bridges,2020,Golden Globes
Simon Helberg,2020,Golden Globes
Dev Patel,2020,Golden Globes
Sylvester Stallone,2019,Golden Globes
Michael Shannon,2019,Golden Globes
Idris Elba,2019,Golden Globes
Mark Rylance,2019,Golden Globes
Paul Dano,2019,Golden Globes
J.K. Simmons,2018,Golden Globes
Ethan Hawke,2018,Golden Globes
Edward Norton,2018,Golden Globes
Mark Ruffalo,2018,Golden Globes
Robert Duvall,2018,Golden Globes
Jared Leto,2017,Golden Globes
Michael Fassbender,2017,Golden Globes
Barkhad Abdi,2017,Golden Globes
Daniel Brühl,2017,Golden Globes
Bradley Cooper,2017,Golden Globes
Christoph Waltz,2016,Golden Globes
Tommy Lee Jones,2016,Golden Globes
Philip Seymour Hoffman,2016,Golden Globes
Alan Arkin,2016,Golden Globes
Leonardo DiCaprio,2016,Golden Globes
Christopher Plummer,2015,Golden Globes
Albert Brooks,2015,Golden Globes
Jonah Hill,2015,Golden Globes
Viggo Mortensen,2015,Golden Globes
Kenneth Branagh,2015,Golden Globes
Christian Bale,2014,Golden Globes
Michael Douglas,2014,Golden Globes
Andrew Garfield,2014,Golden Globes
Jeremy Renner,2014,Golden Globes
Geoffrey Rush,2014,Golden Globes
Christoph Waltz,2013,Golden Globes
Woody Harrelson,2013,Golden Globes
Christopher Plummer,2013,Golden Globes
Stanley Tucci,2013,Golden Globes
Matt Damon,2013,Golden Globes
Heath Ledger,2012,Golden Globes
Tom Cruise,2012,Golden Globes
Robert Downey Jr.,2012,Golden Globes
Ralph Fiennes,2012,Golden Globes
Philip Seymour Hoffman,2012,Golden Globes
Javier Bardem,2011,Golden Globes
Tom Wilkinson,2011,Golden Globes
Casey Affleck,2011,Golden Globes
Philip Seymour Hoffman,2011,Golden Globes
John Travolta,2011,Golden Globes
Eddie Murphy,2010,Golden Globes
Ben Affleck,2010,Golden Globes
Jack Nicholson,2010,Golden Globes
Brad Pitt,2010,Golden Globes
Mark Wahlberg,2010,Golden Globes
George Clooney,2009,Golden Globes
Matt Dillon,2009,Golden Globes
Will Ferrell,2009,Golden Globes
Paul Giamatti,2009,Golden Globes
Bob Hoskins,2009,Golden Globes
Clive Owen,2008,Golden Globes
David Carradine,2008,Golden Globes
Thomas Haden Church,2008,Golden Globes
Jamie Foxx,2008,Golden Globes
Morgan Freeman,2008,Golden Globes
Tim Robbins,2007,Golden Globes
Alec Baldwin,2007,Golden Globes
Albert Finney,2007,Golden Globes
William H. Macy,2007,Golden Globes
Peter Sarsgaard,2007,Golden Globes
Ken Watanabe,2006,Golden Globes
Chris Cooper,2006,Golden Globes
Dennis Quaid,2006,Golden Globes
John C. Reilly,2006,Golden Globes
Ed Harris,2006,Golden Globes
Paul Newman,2005,Golden Globes
Jim Broadbent,2005,Golden Globes
Steve Buscemi,2005,Golden Globes
Hayden Christensen,2005,Golden Globes
Ben Kingsley,2005,Golden Globes
Jude Law,2004,Golden Globes
Jon Voight,2004,Golden Globes
Benicio del Toro,2004,Golden Globes
Jeff Bridges,2004,Golden Globes
Willem Dafoe,2004,Golden Globes
Albert Finney,2003,Golden Globes
Joaquin Phoenix,2003,Golden Globes
Tom Cruise,2003,Golden Globes
Michael Caine,2003,Golden Globes
Michael Clarke Duncan,2003,Golden Globes
Jude Law,2002,Golden Globes
Haley Joel Osment,2002,Golden Globes
Ed Harris,2002,Golden Globes
Robert Duvall,2002,Golden Globes
Bill Murray,2002,Golden Globes
Geoffrey Rush,2001,Golden Globes
Donald Sutherland,2001,Golden Globes
Billy Bob Thornton,2001,Golden Globes
Burt Reynolds,2001,Golden Globes
Robin Williams,2001,Golden Globes
Rupert Everett,2000,Golden Globes
Anthony Hopkins,2000,Golden Globes
Greg Kinnear,2000,Golden Globes
Jon Voight,2000,Golden Globes
Edward Norton,2000,Golden Globes
Cuba Gooding Jr.,1999,Golden Globes
Samuel L. Jackson,1999,Golden Globes
Paul Scofield,1999,Golden Globes
James Woods,1999,Golden Globes
Brad Pitt,1999,Golden Globes
Tim Roth,1998,Golden Globes
Kevin Spacey,1998,Golden Globes
Ed Harris,1998,Golden Globes
John Leguizamo,1998,Golden Globes
Martin Landau,1998,Golden Globes
Kevin Bacon,1997,Golden Globes
Samuel L. Jackson,1997,Golden Globes
Gary Sinise,1997,Golden Globes
John Turturro,1997,Golden Globes
Tommy Lee Jones,1997,Golden Globes
Leonardo DiCaprio,1996,Golden Globes
Ralph Fiennes,1996,Golden Globes
John Malkovich,1996,Golden Globes
Sean Penn,1996,Golden Globes
Gene Hackman,1996,Golden Globes
David Paymer,1995,Golden Globes
Jack Nicholson,1995,Golden Globes
Chris O'Donnell,1995,Golden Globes
Al Pacino,1995,Golden Globes
Jack Palance,1995,Golden Globes
Ned Beatty,1994,Golden Globes
John Goodman,1994,Golden Globes
Harvey Keitel,1994,Golden Globes
Ben Kingsley,1994,Golden Globes
Bruce Davison,1994,Golden Globes
Armand Assante,1993,Golden Globes
Hector Elizondo,1993,Golden Globes
Andy Garcia,1993,Golden Globes
Al Pacino,1993,Golden Globes
Joe Pesci,1993,Golden Globes
Denzel Washington,1992,Golden Globes
Ed Harris,1992,Golden Globes
Bruce Willis,1992,Golden Globes
Danny Aiello,1992,Golden Globes
Marlon Brando,1992,Golden Globes
Sean Connery,1991,Golden Globes
Martin Landau,1991,Golden Globes
Alec Guinness,1991,Golden Globes
Neil Patrick Harris,1991,Golden Globes
Raul Julia,1991,Golden Globes
Lou Diamond Phillips,1990,Golden Globes
River Phoenix,1990,Golden Globes
Sean Connery,1990,Golden Globes
Richard Dreyfuss,1990,Golden Globes
R. Lee Ermey,1990,Golden Globes
Morgan Freeman,1989,Golden Globes
Rob Lowe,1989,Golden Globes
Tom Berenger,1989,Golden Globes
Michael Caine,1989,Golden Globes
Dennis Hopper,1989,Golden Globes
Dennis Hopper,1988,Golden Globes
Ray Liotta,1988,Golden Globes
Klaus Maria Brandauer,1988,Golden Globes
Joel Grey,1988,Golden Globes
John Lone,1988,Golden Globes
Eric Roberts,1987,Golden Globes
Eric Stoltz,1987,Golden Globes
Haing S. Ngor,1987,Golden Globes
Adolph Caesar,1987,Golden Globes
Richard Crenna,1987,Golden Globes
Jeffrey Jones,1986,Golden Globes
Pat Morita,1986,Golden Globes
,1986.0,Golden Globes
,1986.0,Golden Globes
,1986.0,Golden Globes
