star,year,award
 Daniel Day-Lewis ,2008,Oscar
 George Clooney ,2008,Oscar
 Johnny Depp ,2008,Oscar
 Tommy Lee Jones ,2008,Oscar
 Viggo Mortensen ,2008,Oscar
 Javier Bardem ,2008,Oscar
 Casey Affleck ,2008,Oscar
 Philip Seymour Hoffman ,2008,Oscar
 Hal Holbrook ,2008,Oscar
 Tom Wilkinson ,2008,Oscar
 Marion Cotillard ,2008,Oscar
 Cate Blanchett ,2008,Oscar
 Julie Christie ,2008,Oscar
 Laura Linney ,2008,Oscar
 Ellen Page ,2008,Oscar
 Tilda Swinton ,2008,Oscar
 Cate Blanchett ,2008,Oscar
 Ruby Dee ,2008,Oscar
 Saoirse Ronan ,2008,Oscar
 Amy Ryan ,2008,Oscar
 Sean Penn ,2009,Oscar
 Richard Jenkins ,2009,Oscar
 Frank Langella ,2009,Oscar
 Brad Pitt ,2009,Oscar
 Mickey Rourke ,2009,Oscar
 Heath Ledger ,2009,Oscar
 Josh Brolin ,2009,Oscar
 Robert Downey Jr. ,2009,Oscar
 Philip Seymour Hoffman ,2009,Oscar
 Michael Shannon ,2009,Oscar
 Kate Winslet ,2009,Oscar
 Anne Hathaway ,2009,Oscar
 Angelina Jolie ,2009,Oscar
 Melissa Leo ,2009,Oscar
 Meryl Streep ,2009,Oscar
 Penélope Cruz ,2009,Oscar
 Amy Adams ,2009,Oscar
 Viola Davis ,2009,Oscar
 Taraji P. Henson ,2009,Oscar
 Marisa Tomei ,2009,Oscar
 Jeff Bridges ,2010,Oscar
 George Clooney ,2010,Oscar
 Colin Firth ,2010,Oscar
 Morgan Freeman ,2010,Oscar
 Jeremy Renner ,2010,Oscar
 Christoph Waltz ,2010,Oscar
 Matt Damon ,2010,Oscar
 Woody Harrelson ,2010,Oscar
 Christopher Plummer ,2010,Oscar
 Stanley Tucci ,2010,Oscar
 Sandra Bullock ,2010,Oscar
 Helen Mirren ,2010,Oscar
 Carey Mulligan ,2010,Oscar
 Gabourey Sidibe ,2010,Oscar
 Meryl Streep ,2010,Oscar
 Mo'Nique ,2010,Oscar
 Penélope Cruz ,2010,Oscar
 Vera Farmiga ,2010,Oscar
 Maggie Gyllenhaal ,2010,Oscar
 Anna Kendrick ,2010,Oscar
 Colin Firth ,2011,Oscar
 Javier Bardem ,2011,Oscar
 Jeff Bridges ,2011,Oscar
 Jesse Eisenberg ,2011,Oscar
 James Franco ,2011,Oscar
